StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
      110,      00,   195209,   1.53,  65.89,  -2.93,  -2.93,  -3.34,  -2.93,    152,     64,  -2.06,  -1.58,  -1.81,  -1.77,   -1.2,   -.48,   -.51,  51.37,  80.42
      110,      00,   195210,    .54,  52.95,  -3.99,  -3.99,   -4.1,  -3.99,     37,    342,  -3.09,  -3.09,  -2.72,  -2.55,  -1.94,  -1.24,   -.92,  37.24,  68.67
      110,      00,   195211,   2.15,  39.92,  -3.96,  -3.96,  -1.14,  -3.96,     10,    576,   -.12,  -2.09,  -2.45,  -2.29,  -1.79,  -1.34,   -.89,  28.38,  51.46
      110,      00,   195212,   2.45,  33.44,  -4.06,  -4.06,  -1.53,  -4.06,      4,    818,    .15,    .03,  -1.48,  -1.89,  -1.94,   -1.6,   -.69,  24.12,  42.76
      110,      00,   195301,   2.64,  36.43,  -3.97,  -3.97,   -.97,  -3.97,      9,    775,     .7,    .56,    .37,  -1.42,  -1.79,  -1.44,   -.55,  26.01,  46.85
      110,      00,   195302,   2.06,  35.87,  -3.53,  -3.53,     .1,  -3.43,      7,    689,    -.1,    .47,    .47,  -1.55,  -1.76,  -1.43,   -.61,  24.51,  47.21
      110,      00,   195303,   2.61,  43.75,   -3.3,   -3.3,    -.4,   -3.3,     25,    577,    .28,    .15,    .52,   -.87,  -1.42,  -1.56,   -.61,  32.16,  55.35
      110,      00,   195304,   2.96,  48.76,  -2.21,  -2.21,   2.23,  -1.26,     26,    398,    .97,    .78,    .63,    .65,     -1,  -1.42,   -.44,  36.75,  60.76
      110,      00,   195305,   3.26,  59.18,   -1.5,   -1.5,   1.47,    .05,    118,    162,    .71,   1.04,     .9,    .89,   -.77,  -1.15,   -.24,  46.99,  71.35
      110,      00,   195306,   2.54,  70.18,   -1.8,   -1.8,  -1.37,   -.78,    254,     42,   -.92,   -.12,    .37,    .54,    -.5,  -1.01,   -.49,  56.98,  83.37
      110,      00,   195307,   2.65,  74.17,  -1.76,  -1.76,   -.43,   -.88,    330,      7,   -.42,   -.85,   -.28,    .12,    .27,   -.89,   -.57,  60.87,  87.46
      110,      00,   195308,   2.29,   72.1,  -1.98,  -1.98,  -1.21,  -1.48,    279,     15,   -.91,   -.91,  -1.13,    -.1,    .14,  -1.03,   -.65,  58.62,  85.59
      110,      00,   195309,    1.5,  66.16,   -2.9,   -2.9,  -3.37,   -2.9,    161,     60,  -2.12,  -2.19,  -1.95,   -.84,   -.46,  -1.06,   -.97,  50.94,  81.37
      110,      00,   195310,   1.51,  56.21,  -3.38,  -3.38,  -2.35,  -3.38,     51,    230,   -1.2,  -2.02,  -2.12,  -1.51,   -.98,   -.66,  -1.23,  42.08,  70.34
      110,      00,   195311,   1.79,  43.88,  -3.91,  -3.91,  -2.62,  -3.91,     10,    526,   -.72,  -1.32,  -1.92,  -1.85,  -1.09,   -.83,   -1.4,  32.18,  55.58
      110,      00,   195312,    2.5,  33.69,  -4.15,  -4.15,  -1.92,  -4.15,      6,    796,    .24,   -.32,   -.88,  -1.57,  -1.05,    -.8,  -1.59,  23.41,  43.95
      110,      00,   195401,   2.54,   30.9,  -4.14,  -4.14,  -1.26,  -4.14,      9,    905,    .52,     .5,   -.01,   -1.3,  -1.14,    -.8,  -1.48,  20.07,  41.74
      110,      00,   195402,   1.49,  41.41,  -4.58,  -4.58,  -2.61,  -4.58,     10,    596,  -1.48,   -.54,   -.25,  -1.58,  -1.66,  -1.04,  -1.63,  28.98,  53.85
      110,      00,   195403,   2.16,  39.25,   -4.3,   -4.3,   -.57,   -4.3,     10,    669,   -.69,  -1.57,   -.85,  -1.21,  -1.71,  -1.21,  -1.79,  27.77,  50.74
      110,      00,   195404,    2.4,  54.18,  -4.29,  -4.29,  -1.31,  -4.29,     54,    278,   -.25,    -.6,  -1.41,    -.8,  -1.82,  -1.52,  -1.81,  41.13,  67.21
      110,      00,   195405,   2.69,  58.59,  -3.82,  -3.82,    .09,  -3.73,     67,    205,   -.44,   -.45,    -.7,   -.68,  -1.65,   -1.7,  -1.73,   45.7,  71.46
      110,      00,   195406,    2.5,  68.85,   -3.8,   -3.8,  -1.12,   -3.8,    232,     40,     -1,   -.92,   -.85,  -1.12,  -1.29,  -1.68,   -1.7,  55.83,  81.86
      110,      00,   195407,   2.01,  75.47,  -4.33,  -4.33,  -2.76,  -4.33,    349,     10,  -2.16,  -1.75,  -1.51,  -1.66,  -1.33,  -1.85,  -1.79,  61.65,  89.29
      110,      00,   195408,   2.52,  72.18,   -4.3,   -4.3,  -1.24,   -4.3,    288,     24,   -.25,  -1.58,  -1.64,  -1.41,  -1.26,  -1.82,  -1.86,  59.02,  85.33
      110,      00,   195409,   1.95,  66.45,  -4.62,  -4.62,  -2.28,  -4.62,    189,     66,  -1.18,  -1.05,  -1.89,  -1.61,  -1.71,  -1.68,  -1.75,  52.77,  80.11
      110,      00,   195410,   2.35,  54.68,  -4.04,  -4.04,    .29,  -3.88,     55,    244,    .26,   -.49,   -.56,  -1.34,   -1.6,  -1.41,  -1.34,  42.13,  67.23
      110,      00,   195411,   1.54,  44.06,  -4.62,  -4.62,  -2.98,  -4.62,      9,    553,  -1.15,   -.61,   -.98,  -1.54,  -1.52,  -1.49,  -1.49,  32.05,  56.07
      110,      00,   195412,      2,  33.91,  -5.13,  -5.13,  -2.95,  -5.13,      3,    835,   -.67,  -1.22,    -.8,  -1.49,  -1.52,  -1.67,  -1.65,  23.32,  44.47
      110,      00,   195501,   1.69,  29.35,  -5.89,  -5.89,  -3.87,  -5.89,      5,    952,  -1.16,  -1.19,  -1.59,  -1.35,  -1.78,  -1.89,  -1.87,  19.44,  39.27
      110,      00,   195502,   2.22,  31.05,  -5.85,  -5.85,  -1.69,  -5.85,      6,    780,    .26,   -.73,     -1,   -1.3,  -1.67,  -1.64,  -1.81,  19.71,  42.39
      110,      00,   195503,   1.98,  40.06,  -5.69,  -5.69,  -1.33,  -5.69,     19,    622,  -1.13,   -.58,  -1.27,  -1.36,   -1.8,  -1.72,  -1.91,  27.81,  52.34
      110,      00,   195504,   2.49,  52.86,  -5.29,  -5.29,   -.56,  -5.29,     44,    298,   -.04,   -.74,   -.45,  -1.73,  -1.48,  -1.82,  -2.07,  40.12,  65.59
      110,      00,   195505,   2.92,  61.29,  -4.84,  -4.84,   -.31,  -4.84,    119,    140,    .04,    .01,   -.54,  -1.04,  -1.34,  -1.66,  -2.05,  48.29,  74.26
      110,      00,   195506,   2.47,  66.54,  -4.52,  -4.52,   -.52,  -4.52,    155,     57,  -1.06,   -.66,   -.55,  -1.13,  -1.25,  -1.64,  -2.12,  53.67,  79.41
      110,      00,   195507,   2.92,  74.44,  -3.95,  -3.95,     .3,  -3.78,    362,     10,    .34,   -.57,   -.43,   -.61,  -1.26,  -1.25,  -2.03,  61.63,  87.24
      110,      00,   195508,   2.74,  73.87,  -3.57,  -3.57,   -.07,  -3.37,    337,      8,    .35,    .39,   -.36,   -.64,   -.95,  -1.19,  -1.96,  60.51,  87.21
      110,      00,   195509,   2.11,  65.88,  -3.68,  -3.68,  -1.43,  -3.68,    175,     66,   -.83,   -.42,   -.17,   -.51,  -1.02,  -1.15,  -1.81,   52.2,  79.56
      110,      00,   195510,   2.04,  55.04,  -3.47,  -3.47,   -.52,  -3.47,     46,    258,   -.26,   -.67,   -.48,   -.59,   -.73,  -1.31,  -1.76,  41.32,  68.72
      110,      00,   195511,   1.92,  38.23,  -3.37,  -3.37,   -.77,  -3.37,     10,    628,    -.5,   -.52,   -.77,   -.78,   -.87,  -1.14,   -1.7,  26.74,  49.69
      110,      00,   195512,   2.24,  31.71,  -3.38,  -3.38,  -1.06,  -3.38,      6,    902,   -.23,   -.48,   -.53,   -.52,   -.66,  -1.04,  -1.83,  21.52,  41.88
      110,      00,   195601,   2.27,  31.01,  -3.28,  -3.28,   -.75,  -3.28,      3,    923,    .03,   -.15,   -.39,   -.58,   -.63,   -.75,  -1.84,  20.89,  41.14
      110,      00,   195602,   2.62,  32.27,  -2.24,  -2.24,   2.11,  -1.33,     11,    743,   1.12,    .74,    .44,   -.33,   -.45,   -.62,  -1.48,  21.31,  43.23
      110,      00,   195603,   1.82,  40.75,  -2.67,  -2.67,     -2,  -2.51,     13,    666,  -1.54,   -.19,   -.18,   -.53,   -.53,   -.67,  -1.52,     28,  53.49
      110,      00,   195604,   2.07,  49.37,  -2.58,  -2.58,   -.54,  -2.57,     23,    405,  -1.04,  -1.82,   -.69,   -.75,   -.84,   -.85,  -1.63,  36.61,  62.13
      110,      00,   195605,    2.6,  61.77,  -2.78,  -2.78,  -1.39,  -2.78,    115,    171,   -.63,   -1.1,  -1.62,    -.8,  -1.04,   -.98,   -1.6,  48.85,  74.66
      110,      00,   195606,   2.21,  70.36,  -3.34,  -3.34,  -2.53,  -3.34,    225,     33,  -1.57,   -1.4,  -1.58,  -1.25,  -1.19,  -1.08,  -1.72,  56.75,  83.97
      110,      00,   195607,   2.78,  73.06,  -3.36,  -3.36,   -1.1,  -3.36,    292,     13,   -.06,  -1.12,  -1.14,  -1.17,  -1.12,  -1.11,  -1.51,  59.92,   86.2
      110,      00,   195608,   2.21,  71.69,  -3.63,  -3.63,  -1.86,  -3.63,    279,     19,  -1.16,   -.83,  -1.45,  -1.74,  -1.26,  -1.34,  -1.62,  58.08,   85.3
      110,      00,   195609,   1.44,   65.1,  -4.37,  -4.37,  -3.33,  -4.37,    148,     92,  -2.24,  -2.43,  -1.96,  -2.11,  -1.84,  -1.62,  -1.77,  50.25,  79.93
      110,      00,   195610,      2,  56.16,  -4.28,  -4.28,  -1.08,  -4.28,     60,    237,   -.33,  -1.52,  -1.77,  -1.82,  -1.74,  -1.71,  -1.95,  42.89,  69.42
      110,      00,   195611,   1.36,  40.32,  -4.89,  -4.89,  -3.15,  -4.89,      8,    576,  -1.47,  -1.24,  -1.92,     -2,  -2.17,   -1.9,  -1.98,  28.35,  52.29
      110,      00,   195612,      2,  36.23,  -5.62,  -5.62,  -3.71,  -5.62,     10,    710,   -.67,  -1.44,  -1.28,  -1.83,  -2.07,  -1.97,  -2.08,  25.18,  47.26
      110,      00,   195701,   2.13,  27.07,  -6.22,  -6.22,  -3.53,  -6.22,     11,    993,   -.24,   -.63,  -1.32,  -1.89,  -2.02,  -1.91,  -1.86,  16.97,  37.17
      110,      00,   195702,   2.08,  38.07,  -6.56,  -6.56,  -2.93,  -6.56,     16,    641,   -.05,   -.26,   -.63,  -1.79,  -1.93,   -2.1,  -1.89,  27.61,  48.54
      110,      00,   195703,   2.51,  41.27,      0,  -5.88,   -.01,  -5.83,     11,    631,    .08,    .03,   -.17,  -1.14,  -1.67,  -1.89,  -1.65,  30.56,     52
      110,      00,   195704,   3.65,   50.7,   1.19,  -4.09,   3.56,  -2.69,     32,    331,   2.28,   1.44,   1.21,   -.12,   -1.1,  -1.37,  -1.33,  39.29,   62.1
      110,      00,   195705,   4.24,  59.65,   2.41,  -2.32,   4.04,    .53,     96,    166,   2.39,    2.8,   2.23,   1.32,   -.12,   -.65,   -.97,  48.09,  71.19
      110,      00,   195706,   3.65,   68.7,   2.93,  -1.32,    2.3,   2.17,    233,     29,    1.7,   2.88,   3.09,   2.27,    .75,   -.04,   -.68,  56.43,     81
      110,      00,   195707,   2.28,  74.28,   2.61,   -1.2,   -.07,   2.01,    328,      9,  -1.43,    .24,   1.74,   1.98,    .58,   -.27,   -.87,  61.02,  87.53
      110,      00,   195708,   2.19,  71.65,   1.99,  -1.42,  -1.03,   1.27,    266,     21,  -1.22,  -1.68,   -.37,   1.76,     .9,   -.27,  -1.02,   58.5,  84.81
      110,      00,   195709,   2.86,  64.18,   2.23,   -.84,   1.31,   2.01,    149,     72,    .85,   -.09,   -.76,   2.03,   1.49,    .36,   -.84,  51.01,  77.38
      110,      00,   195710,   2.76,  51.67,    2.8,    2.8,   2.42,    2.8,     29,    338,    .93,   1.15,    .52,   1.46,    1.9,    .74,   -.67,  41.11,  62.24
      110,      00,   195711,   3.12,  40.26,   3.63,   3.63,   3.36,   3.63,     13,    569,   1.47,   1.58,   1.64,   1.09,    2.4,   1.61,   -.32,  30.67,  49.86
      110,      00,   195712,    2.4,     37,      4,      4,   2.22,      4,      5,    737,    .06,   1.05,   1.28,    .56,   2.18,   1.89,    -.2,  26.26,  47.77
      110,      00,   195801,   2.29,   31.6,   4.25,   4.25,   1.98,   4.25,      2,    935,    .07,    .07,    .88,     .9,    1.5,   1.85,   -.16,  21.42,  41.79
      110,      00,   195802,   2.43,  31.98,   4.34,   4.34,   1.57,   4.34,      1,    875,    .72,     .5,    .43,   1.45,   1.05,   2.14,   -.22,  21.85,   42.1
      110,      00,   195803,   2.66,  37.67,   4.34,   4.34,   1.35,   4.34,      7,    714,    .39,    .73,     .6,    1.3,    .73,   2.14,   -.01,  28.56,  46.78
      110,      00,   195804,   3.05,  50.27,   4.55,   4.55,   1.98,   4.55,     27,    348,   1.15,    .94,   1.12,   1.29,    1.3,   1.77,    .25,   38.5,  62.04
      110,      00,   195805,   2.46,  62.42,    3.4,    3.4,  -2.05,   2.57,    102,    156,   -.94,    .15,    .27,    .41,   1.23,    .93,    .18,  48.81,  76.03
      110,      00,   195806,    3.2,  67.93,   3.37,   3.37,    .96,   2.85,    187,     61,    .55,    -.3,    .32,    .55,   1.16,    .71,    .45,  55.31,  80.53
      110,      00,   195807,   3.86,  72.63,   4.13,   4.13,   3.34,   4.13,    308,     10,   3.06,   2.22,    .92,   1.33,   1.47,   1.47,    .75,  60.17,  85.06
      110,      00,   195808,    2.4,  73.29,   3.69,   3.69,   -.06,   3.61,    296,     12,   -.59,   1.64,   1.49,    .94,    .91,   1.59,    .81,  59.92,  86.65
      110,      00,   195809,   2.82,  65.43,   3.63,   3.63,    .95,   3.63,    161,     70,    .76,    .19,   1.55,   1.12,    1.2,   1.59,   1.24,  52.88,  77.95
      110,      00,   195810,   1.53,  54.73,   -.55,    2.7,  -1.65,   1.99,     47,    268,  -1.17,   -.43,   -.63,    .15,    .67,    .98,   1.14,  41.63,  67.86
      110,      00,   195811,   2.21,  43.02,   -.69,   2.23,   -.58,   1.26,     18,    513,   -.02,   -.78,   -.32,    .44,    .43,    .54,   1.39,  31.41,  54.61
      110,      00,   195812,   1.32,  32.22,  -1.55,   1.07,  -2.79,   -.97,      5,    929,  -1.89,  -1.23,  -1.55,   -.41,   -.18,    .04,   1.18,  21.09,  43.34
      110,      00,   195901,   2.19,   29.5,  -2.01,  -2.01,  -1.86,  -2.01,      5,    959,   -.12,  -1.43,  -1.08,   -1.1,   -.46,      0,   1.11,  18.55,  40.46
      110,      00,   195902,   2.35,  32.49,  -1.52,  -1.52,    .83,  -1.07,     12,    776,    .55,    .24,  -1.07,   -.85,   -.16,   -.06,   1.18,  21.74,  43.23
      110,      00,   195903,   2.14,  41.45,  -1.77,  -1.77,   -1.2,  -1.77,     11,    638,   -.74,   -.12,   -.22,   -1.4,   -.45,   -.27,   1.06,  29.12,  53.78
      110,      00,   195904,   2.14,   51.6,  -1.96,  -1.96,  -1.12,  -1.96,     30,    324,   -.87,  -1.06,   -.53,  -1.29,  -1.27,   -.64,    .67,  38.68,  64.51
      110,      00,   195905,    3.2,  60.84,  -1.54,  -1.54,    .66,  -1.16,    127,    131,    .59,   -.09,   -.44,  -1.01,   -.93,   -.32,    .38,  48.56,  73.13
      110,      00,   195906,   2.62,  69.96,  -1.75,  -1.75,   -1.1,  -1.75,    221,     31,   -.75,   -.09,   -.46,   -.52,  -1.23,   -.58,     .1,  56.91,  83.01
      110,      00,   195907,   2.94,  73.58,    .16,  -1.41,    .47,   -1.1,    319,      7,    .39,   -.32,    .05,   -.35,   -.85,   -.95,    .27,   60.1,  87.08
      110,      00,   195908,   2.76,  73.17,    .24,  -1.17,    .29,   -.66,    328,      9,     .4,    .47,   -.12,   -.45,   -.83,   -.82,    .44,  60.33,     86
      110,      00,   195909,   2.82,  64.74,    .56,    -.7,   1.05,    .36,    169,     58,    .76,    .78,    .82,     .1,   -.07,   -.83,    .42,  52.41,  77.05
      110,      00,   195910,    3.5,  53.33,   1.82,   1.82,   3.96,   1.82,     61,    266,   2.07,   2.05,   1.98,   1.35,    .71,    .04,    .67,  41.79,  64.85
      110,      00,   195911,   1.72,  38.66,   1.78,   1.78,    .42,   1.78,     11,    621,   -.84,    .89,   1.01,    .69,    .24,    -.2,    .24,  26.58,  50.74
      110,      00,   195912,   2.22,  35.94,   1.91,   1.91,    .96,   1.91,      5,    761,   -.27,   -.74,    .56,     .8,    .36,    .21,    .26,  25.97,  45.93
      110,      00,   196001,   2.26,  29.46,   2.24,   2.24,   1.58,   2.24,      6,    910,    .01,   -.19,   -.61,    .68,    .58,    .23,    .25,  20.16,  38.75
      110,      00,   196002,   2.59,  30.52,   2.69,   2.69,   2.03,   2.69,      4,    801,   1.06,    .68,    .38,    .94,    .72,    .33,    .29,  20.61,  40.46
      110,      00,   196003,   2.12,  35.91,    .02,   2.43,    .06,   2.39,      6,    840,   -.79,    .21,    .13,     .5,     .7,    .33,    .12,   24.6,  47.21
      110,      00,   196004,   2.15,  52.59,   -.48,    1.7,  -1.44,    .98,     36,    298,   -.84,  -1.08,   -.23,   -.65,    .44,    .38,   -.12,  39.83,  65.32
      110,      00,   196005,   2.87,  59.31,   -.33,   1.63,    .32,   1.01,     76,    177,   -.06,   -.55,   -.82,   -.36,    .32,    .21,   -.05,   46.2,  72.41
      110,      00,   196006,   2.69,  69.08,    -.5,   1.25,   -.63,    .34,    212,     38,   -.61,   -.43,   -.72,   -.49,   -.04,    .22,   -.19,  55.74,  82.38
      110,      00,   196007,   2.68,  73.89,   -.52,   1.06,    -.2,    .05,    298,     10,   -.33,   -.59,    -.5,   -.54,   -.75,    .09,   -.53,  60.26,  87.49
      110,      00,   196008,   2.83,  72.21,   -.25,   1.16,    .63,    .39,    291,     14,    .58,     .1,   -.27,   -.76,   -.44,    .13,   -.41,  59.14,  85.28
      110,      00,   196009,   2.21,  66.45,   -.65,    .62,  -1.27,   -.58,    173,     56,   -.62,    -.1,   -.24,   -.67,   -.52,   -.14,    -.6,   53.1,  79.81
      110,      00,   196010,    2.4,  54.77,    -.4,    .73,    .55,   -.23,     57,    271,    .35,   -.11,    .11,   -.26,   -.39,   -.61,   -.37,  42.26,  67.28
      110,      00,   196011,   2.05,  42.73,   -.63,   -.63,   -.82,   -.63,     15,    532,   -.28,    .04,   -.23,   -.36,   -.68,   -.48,   -.41,  31.39,  54.05
      110,      00,   196012,    1.9,   30.4,  -1.05,  -1.05,  -1.44,  -1.05,      3,    953,   -.85,   -.72,    -.4,   -.45,   -.69,   -.62,   -.17,  20.08,  40.69
      110,      00,   196101,   1.48,  29.71,  -1.83,  -1.83,  -2.68,  -1.83,      3,    996,  -1.64,   -1.6,  -1.38,   -.85,   -.89,   -.89,   -.33,  18.19,  41.25
      110,      00,   196102,   2.78,  37.42,    .39,  -1.25,   1.17,   -.62,      8,    684,   1.45,   -.18,   -.69,   -.59,   -.61,   -.84,   -.22,  26.33,  48.51
      110,      00,   196103,   3.16,  43.47,    .81,   -.67,   1.38,    .65,     21,    582,   1.33,   1.76,    .64,    .07,   -.09,    -.4,    .04,  32.52,  54.41
      110,      00,   196104,    2.3,  48.67,    .84,    .84,    .36,    .84,     20,    428,   -.48,    .65,   1.21,   -.17,   -.12,   -.32,    .08,  36.34,     61
      110,      00,   196105,   2.88,  58.87,    .93,    .93,    .52,    .93,     75,    213,   -.04,   -.32,    .44,   -.15,   -.25,   -.32,   -.05,  46.04,  71.69
      110,      00,   196106,   2.92,  69.49,    .81,    .81,   -.09,    .81,    190,     33,    -.1,   -.12,   -.32,    .12,   -.16,   -.24,    .03,  55.94,  83.03
      110,      00,   196107,   3.11,  73.24,    1.2,    1.2,   1.43,    1.2,    300,      7,    .87,     .4,    .21,    .92,   -.12,   -.07,    .06,  60.17,  86.29
      110,      00,   196108,   2.62,   72.7,   1.21,   1.21,     .4,   1.21,    277,     10,    .03,    .53,    .32,    .41,   -.03,   -.15,    .03,  59.85,  85.53
      110,      00,   196109,   2.94,  63.41,   1.71,   1.71,   1.88,   1.71,    174,     57,   1.04,    .75,   1.02,    .32,    .56,    .17,    .05,  51.15,  75.67
      110,      00,   196110,   1.78,  53.85,    1.3,    1.3,   -.72,    .87,     43,    259,   -.72,    .02,      0,    .14,    .72,   -.09,   -.45,  40.69,  66.97
      110,      00,   196111,   2.59,   40.5,   1.52,   1.52,   1.08,   1.52,     12,    561,    .61,   -.05,    .35,    .39,    .49,    .14,   -.19,  30.18,  50.81
      110,      00,   196112,   2.69,  31.08,   1.83,   1.83,   1.39,   1.83,      6,    870,    .58,    .79,    .23,    .64,    .32,    .52,    .02,  21.49,  40.69
      110,      00,   196201,   2.21,  26.96,   2.07,   2.07,    1.3,   2.07,      6,    994,   -.08,    .33,    .59,    .38,    .43,    .83,    .03,  16.11,  37.83
      110,      00,   196202,   2.55,  34.92,   2.41,   2.41,   1.64,   2.41,     14,    750,    .98,    .56,     .8,    .71,     .7,    .73,    .01,  24.17,  45.68
      110,      00,   196203,   2.15,   37.9,   -.09,   2.07,   -.28,   1.88,      8,    708,   -.72,    .19,    .06,     .2,    .54,    .26,      0,  26.91,   48.9
      110,      00,   196204,    2.1,  51.84,   -.52,   1.41,  -1.32,     .6,     26,    352,   -.97,  -1.12,   -.31,    .27,    .17,    .22,   -.02,  38.71,  64.98
      110,      00,   196205,   2.69,  62.24,   -.91,    .83,  -1.33,   -.57,    142,    135,   -.44,   -.91,  -1.06,   -.23,    .03,    .11,    -.1,  49.57,  74.91
      110,      00,   196206,   3.21,  67.91,   -.44,   1.12,   1.13,    .21,    198,     41,    .57,    .02,   -.42,   -.32,   -.11,    .22,    .03,  55.17,  80.64
      110,      00,   196207,   2.91,  72.07,   -.06,   1.33,    .99,    .78,    275,     17,    .31,    .54,     .1,    -.2,    .15,    .11,    .08,  59.14,  84.97
